name;class;attribute;value1;attribute;value2
AF-AGO;Node;Longitude;17.873887;Latitude;-11.202692
AF-BDI;Node;Longitude;29.918886;Latitude;-3.373056
AF-BEN;Node;Longitude;2.315834;Latitude;9.30769
AF-BFA;Node;Longitude;-1.561593;Latitude;12.238333
AF-BWA;Node;Longitude;24.684866;Latitude;-22.328474
AF-CAF;Node;Longitude;20.939444;Latitude;6.611111
AF-CIV;Node;Longitude;-5.54708;Latitude;7.539989
AF-CMR;Node;Longitude;12.354722;Latitude;7.369722
AF-COD;Node;Longitude;21.758664;Latitude;-4.038333
AF-COG;Node;Longitude;15.827659;Latitude;-0.228021
AF-DJI;Node;Longitude;42.590275;Latitude;11.825138
AF-DZA;Node;Longitude;1.659626;Latitude;28.033886
AF-EGY;Node;Longitude;30.802498;Latitude;26.820553
AF-ERI;Node;Longitude;39.782334;Latitude;15.179384
AF-ETH;Node;Longitude;40.489673;Latitude;9.145
AF-GAB;Node;Longitude;11.609444;Latitude;-0.803689
AF-GHA;Node;Longitude;-1.023194;Latitude;7.946527
AF-GIN;Node;Longitude;-9.696645;Latitude;9.945587
AF-GMB;Node;Longitude;-15.310139;Latitude;13.443182
AF-GNB;Node;Longitude;-15.180413;Latitude;11.803749
AF-GNQ;Node;Longitude;10.267895;Latitude;1.650801
AF-KEN;Node;Longitude;37.906193;Latitude;-0.023559
AF-LBR;Node;Longitude;-9.429499;Latitude;6.428055
AF-LBY;Node;Longitude;17.228331;Latitude;26.3351
AF-LSO;Node;Longitude;28.233608;Latitude;-29.609988
AF-MAR;Node;Longitude;-7.09262;Latitude;31.791702
AF-MDG;Node;Longitude;46.869107;Latitude;-18.766947
AF-MLI;Node;Longitude;-3.996166;Latitude;17.570692
AF-MOZ;Node;Longitude;35.529562;Latitude;-18.665695
AF-MRT;Node;Longitude;-10.940835;Latitude;21.00789
AF-MWI;Node;Longitude;34.301525;Latitude;-13.254308
AF-NAM;Node;Longitude;18.49041;Latitude;-22.95764
AF-NER;Node;Longitude;8.081666;Latitude;17.607789
AF-NGA;Node;Longitude;8.675277;Latitude;9.081999
AF-RWA;Node;Longitude;29.873888;Latitude;-1.940278
AF-SDN;Node;Longitude;30.217636;Latitude;12.862807
AF-SEN;Node;Longitude;-14.452362;Latitude;14.497401
AF-SLE;Node;Longitude;-11.779889;Latitude;8.460555
AF-SOM;Node;Longitude;46.199616;Latitude;5.152149
AF-SWZ;Node;Longitude;31.465866;Latitude;-26.522503
AF-TCD;Node;Longitude;18.732207;Latitude;15.454166
AF-TGO;Node;Longitude;0.824782;Latitude;8.619543
AF-TUN;Node;Longitude;9.537499;Latitude;33.886917
AF-TZA;Node;Longitude;34.888822;Latitude;-6.369028
AF-UGA;Node;Longitude;32.290275;Latitude;1.373333
AF-ZAF;Node;Longitude;22.937506;Latitude;-30.559482
AF-ZMB;Node;Longitude;27.849332;Latitude;-13.133897
AF-ZWE;Node;Longitude;29.154857;Latitude;-19.015438
AS-AFG;Node;Longitude;67.709953;Latitude;33.93911
AS-ARE;Node;Longitude;53.847818;Latitude;23.424076
AS-BGD;Node;Longitude;90.356331;Latitude;23.684994
AS-BHR;Node;Longitude;50.637772;Latitude;25.930414
AS-BRN;Node;Longitude;114.727669;Latitude;4.535277
AS-BTN;Node;Longitude;90.433601;Latitude;27.514162
AS-CHN-AN;Node;Longitude;117.323958;Latitude;31.86187692
AS-CHN-BE;Node;Longitude;116.3912757;Latitude;39.906217
AS-CHN-CH;Node;Longitude;106.9497253;Latitude;29.47245159
AS-CHN-EM;Node;Longitude;120.6191005;Latitude;45.92881772
AS-CHN-FU;Node;Longitude;118.0723751;Latitude;25.77570212
AS-CHN-GA;Node;Longitude;101.9999999;Latitude;38.0000001
AS-CHN-GD;Node;Longitude;113.1982688;Latitude;23.1357694
AS-CHN-GU;Node;Longitude;107;Latitude;27
AS-CHN-GX;Node;Longitude;109;Latitude;24
AS-CHN-HA;Node;Longitude;109.5999999;Latitude;19.2000001
AS-CHN-HB;Node;Longitude;115.6143627;Latitude;38.84601591
AS-CHN-HE;Node;Longitude;113.5704173;Latitude;33.90872804
AS-CHN-HJ;Node;Longitude;128.367683;Latitude;47.27720752
AS-CHN-HK;Node;Longitude;114.1661138;Latitude;22.32394198
AS-CHN-HN;Node;Longitude;111.7487063;Latitude;27.6662087
AS-CHN-HU;Node;Longitude;112.0532318;Latitude;30.90680845
AS-CHN-JI;Node;Longitude;126.6946009;Latitude;43.27195929
AS-CHN-JS;Node;Longitude;119.6583079;Latitude;33.01828206
AS-CHN-JX;Node;Longitude;116;Latitude;28
AS-CHN-LI;Node;Longitude;123.0826147;Latitude;41.35601873
AS-CHN-MA;Node;Longitude;113.5509026;Latitude;22.18676333
AS-CHN-NI;Node;Longitude;105.9999999;Latitude;37.0000001
AS-CHN-QI;Node;Longitude;95.9521157;Latitude;35.4070952
AS-CHN-SC;Node;Longitude;102.8614329;Latitude;29.98734113
AS-CHN-SD;Node;Longitude;118.1212254;Latitude;35.92751939
AS-CHN-SH;Node;Longitude;121.4888922;Latitude;31.2253441
AS-CHN-SI;Node;Longitude;108.9318504;Latitude;34.23853526
AS-CHN-SX;Node;Longitude;112.361433;Latitude;37.26262951
AS-CHN-TI;Node;Longitude;87.61535138;Latitude;31.80087354
AS-CHN-TJ;Node;Longitude;117.372744;Latitude;39.31068812
AS-CHN-WM;Node;Longitude;109.9639689;Latitude;40.75912386
AS-CHN-XI;Node;Longitude;87.22120004;Latitude;41.01552031
AS-CHN-YU;Node;Longitude;101.8340893;Latitude;24.62089774
AS-CHN-ZH;Node;Longitude;120.3174876;Latitude;28.86523829
AS-IDN;Node;Longitude;113.921327;Latitude;-0.789275
AS-IND-EA;Node;Longitude;86.65676135;Latitude;22.91335375
AS-IND-NE;Node;Longitude;93.32538768;Latitude;25.81487374
AS-IND-NO;Node;Longitude;77.2219388;Latitude;28.6517178
AS-IND-SO;Node;Longitude;77.5912997;Latitude;12.9791198
AS-IND-WE;Node;Longitude;77.51111355;Latitude;21.29336848
AS-IRN;Node;Longitude;53.688046;Latitude;32.427908
AS-IRQ;Node;Longitude;43.679291;Latitude;33.223191
AS-ISR;Node;Longitude;34.851612;Latitude;31.046051
AS-JOR;Node;Longitude;36.238414;Latitude;30.585164
AS-JPN-CE;Node;Longitude;135.9021379;Latitude;34.91157709
AS-JPN-HO;Node;Longitude;142.8231131;Latitude;43.10817375
AS-JPN-KY;Node;Longitude;131.0121061;Latitude;32.64705872
AS-JPN-OK;Node;Longitude;128.0255901;Latitude;26.5707754
AS-JPN-SH;Node;Longitude;133.5999443;Latitude;33.70458579
AS-JPN-TO;Node;Longitude;140.2917339;Latitude;38.02952254
AS-KAZ;Node;Longitude;66.923684;Latitude;48.019573
