;node;;stochastic_scenario;value;2000-01-02T00:00:00
connection_flow;AF-AGO_h2_AF-BWA_h2;from_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-BWA_h2;from_node;AF-BWA_h2;0;0
connection_flow;AF-AGO_h2_AF-BWA_h2;to_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-COD_h2;from_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-COD_h2;from_node;AF-COD_h2;0;0
connection_flow;AF-AGO_h2_AF-COD_h2;to_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-COG_h2;from_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-COG_h2;from_node;AF-COG_h2;0;0
connection_flow;AF-AGO_h2_AF-COG_h2;to_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-GAB_h2;from_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-GAB_h2;from_node;AF-GAB_h2;6.502223301;6.502223301
connection_flow;AF-AGO_h2_AF-GAB_h2;to_node;AF-AGO_h2;6.502223301;6.502223301
connection_flow;AF-AGO_h2_AF-NAM_h2;from_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-NAM_h2;from_node;AF-NAM_h2;0;0
connection_flow;AF-AGO_h2_AF-NAM_h2;to_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-ZMB_h2;from_node;AF-AGO_h2;0;0
connection_flow;AF-AGO_h2_AF-ZMB_h2;from_node;AF-ZMB_h2;0;0
connection_flow;AF-AGO_h2_AF-ZMB_h2;to_node;AF-AGO_h2;0;0
connection_flow;AF-BDI_h2_AF-COD_h2;from_node;AF-BDI_h2;0;0
connection_flow;AF-BDI_h2_AF-COD_h2;from_node;AF-COD_h2;0;0
connection_flow;AF-BDI_h2_AF-COD_h2;to_node;AF-BDI_h2;0;0
connection_flow;AF-BDI_h2_AF-RWA_h2;from_node;AF-BDI_h2;0;0
connection_flow;AF-BDI_h2_AF-RWA_h2;from_node;AF-RWA_h2;7.091002692;7.091002692
connection_flow;AF-BDI_h2_AF-RWA_h2;to_node;AF-BDI_h2;7.091002692;7.091002692
connection_flow;AF-BDI_h2_AF-TZA_h2;from_node;AF-BDI_h2;0;0
connection_flow;AF-BDI_h2_AF-TZA_h2;from_node;AF-TZA_h2;0;0
connection_flow;AF-BDI_h2_AF-TZA_h2;to_node;AF-BDI_h2;0;0
connection_flow;AF-BDI_h2_AF-ZMB_h2;from_node;AF-BDI_h2;0;0
connection_flow;AF-BDI_h2_AF-ZMB_h2;from_node;AF-ZMB_h2;0;0
connection_flow;AF-BDI_h2_AF-ZMB_h2;to_node;AF-BDI_h2;0;0
connection_flow;AF-BEN_h2_AF-BFA_h2;from_node;AF-BEN_h2;0;0
connection_flow;AF-BEN_h2_AF-BFA_h2;from_node;AF-BFA_h2;0;0
